,ID,usertoken,prolificID,gender,age,race,education,variables,timerVal,prior_belief,prior_uncertainty_L,prior_uncertainty_R,data_rho,data_CI_L,data_CI_R,post1_belief,post1_uncertainty_L,post1_uncertainty_R,post2_belief,post2_uncertainty_L,post2_uncertainty_R,retro_prior,retro_post1,retro_post2,likert,survey
0,62f67ae0fc70763173e81fc2,Swh7B1VF,60ca3935fb64d56e11014643,female,23,white,undergrad,"['Immigrant population', 'Crime rate']",5,0.4348796949707996,-0.017933918519751346,0.887693308461351,-0.708554337834085,-0.8343796045894698,-0.5378425261041511,-0.8094201983122391,-0.937933035364791,-0.6809073612596874,-0.7979634163981582,-0.9881853027715888,-0.6077415300247275,"I thought that many immigrant families may live in lower income communities, which tend to have higher crime rates.","The data showed a negative correlation trend, so I adapted my belief to match the data.","Again, I used my judgement based on the data given and tried to match my previous answer.",unlikely,Tetris was a long time. I think 2 minutes would have been plenty
1,62f67ae0fc70763173e81fc2,Swh7B1VF,60ca3935fb64d56e11014643,female,23,white,undergrad,"['Years of education', 'Income']",5,0.8662822145594482,0.6342222977796006,1,-0.09576863635491203,-0.3842973775863261,0.2199511543414904,-0.006113632481287434,-1,1,-0.006797131323287575,-0.2776830530493965,0.2640887904028213,"Typically, people with more education are able to obtain higher paying jobs.",The data threw off my belief since it was negatively correlated. I went for a middle option with high uncertainty because I was unsure what to think.,"After Tetris, I figured there could be some correlation but due to large outliers (like CEOs who dropped out of high school), I thought maybe there would still be no correlation.",very_likely,Tetris was a long time. I think 2 minutes would have been plenty
2,62f67ae0fc70763173e81fc2,Swh7B1VF,60ca3935fb64d56e11014643,female,23,white,undergrad,"['Avg. hours on social media', 'Depression severity']",5,0.2711573989150753,-0.03748796893919559,0.5798027667693462,-0.7398998905194059,-0.8285574554050896,-0.614817424720286,-0.7864823389476348,-0.9766606493420542,-0.5963040285532157,-0.7634068186501637,-0.9461589525322267,-0.5806546847681004,Maybe people who are depressed spend a lot of time on their phone and their depression is exacerbated by social media.,I could reason that people with depression maybe isolate themselves and not be on social media.,I continued with the same graph because I could understand that people with depression may exclude themselves from social media. Plus it is what the data suggest.,cant_say,Tetris was a long time. I think 2 minutes would have been plenty
3,62f67f44fc70763173e81fdc,OwNbjsPH,5af9fab60a7ecb00011820b8,female,29,eastasian,undergrad,"['Immigrant population', 'Crime rate']",5,-0.025049677430457606,-0.3492692113622442,0.29916985650132877,0.865220081284322,0.7833846815351138,0.9159079109990269,0.4932938881224733,0.17379024521929054,0.8127975310256563,0.6174639681649516,0.2114233130230614,1,I don't believe that there is any correlation between high immigrant population and crime rate. ,It made me think that it might be possible that higher immigrant populations would live in higher poverty areas with increased crime rates. ,Similar thinking to before the game. ,liekly,no
4,62f67f44fc70763173e81fdc,OwNbjsPH,5af9fab60a7ecb00011820b8,female,29,eastasian,undergrad,"['Years of education', 'Income']",5,0.2890619832966055,-0.4136094586084347,0.9917334252016459,-0.7822269959838687,-0.8717241234676156,-0.6446841220271373,0.4237521183028039,-0.5457377296600472,1,0.3541633954503576,0.00286262121375791,0.705464169686957,I've heard many studies saying that getting higher education leads to higher income. ,"It might still be true that higher income can come from more education, but with the job market getting oversaturated by overly educated employees, there probably is a lot more variation now. ","There is still a positive relationship between years of education and income, but more variable. ",liekly,no
5,62f67f44fc70763173e81fdc,OwNbjsPH,5af9fab60a7ecb00011820b8,female,29,eastasian,undergrad,"['Avg. hours on social media', 'Depression severity']",5,1,0.6898539352328834,1,0.0535622736966203,-0.24949009490192664,0.36382571301526745,0.6012761594752993,-0.31392904920695625,1,0.5218957867184089,0.06276911161300669,0.9810224618238108,"Perhaps it's from a more anecdotal perspective, but I know a few people who are depressed but also addicted to social media. ","I still think there's a positive relationship, but a lot more variable. ",I kept it unchanged because I think there is a positive relationship. ,liekly,no
6,62f68027fc70763173e81fe0,MAXHFRS7,629fbe8ae956f7cb13de5073,female,22,white,undergrad,"['Immigrant population', 'Crime rate']",5,-0.10405798999571814,-0.4107623761229746,0.20264639613153834,0.7352742409557598,0.5873240938863983,0.8466414340796999,0.46290835289902876,0.006883496924132038,0.9189332088739257,0.36633441020864077,0.03743807270703492,0.6952307477102466,"immigrant populations tend to be incredibly motivated and hard workers and respectful of the laws of the country they came to. At least in terms of the US, a lot of immigrants have a sort of reverance for the country and would be far less likely to commit crimes","I guess the study could be showing me false data to change my mind so I changed my answer, but I honestly still think what I put above.","Same as previous answer, didn't think that the study might be trying to influence my answer, but still believe what I put first",liekly,I'd love to know what the true relationships are between these things!
7,62f68027fc70763173e81fe0,MAXHFRS7,629fbe8ae956f7cb13de5073,female,22,white,undergrad,"['Avg. hours on social media', 'Depression severity']",5,0.4579788168002148,0.343576821881153,0.5723808117192764,-0.46549904827520416,-0.6447677807380318,-0.22906463316602632,0.377979565167333,0.06067844320301741,0.6952806871316486,1,0.17788431077936395,1,"This is a known studied fact, and social media tend to make me feel depressed the longer I'm on it.","I still believe that the more hours you spend on social media the more depressed you are, i don't care what the supposed data says","I felt even more confident in my previous answer the more I thought about it, and felt it might even be more positively correlated than before",very_likely,I'd love to know what the true relationships are between these things!
8,62f68027fc70763173e81fe0,MAXHFRS7,629fbe8ae956f7cb13de5073,female,22,white,undergrad,"['Years of education', 'Income']",5,0.6903061341030801,0.5411966942163111,0.8394155739898492,-0.31704749950346406,-0.5237950455794893,-0.07910275028840645,0.8557926506274791,0.7212373232008569,0.9903479780541014,0.9249802741122899,0.8293567823815939,1,"While there are exceptions here, I feel overall it has to be tru that the higher education you have the higher your income",The data presented didn't change my mind,just got more confident after sitting with the thought for a little bit,very_likely,I'd love to know what the true relationships are between these things!
9,62f6808bfc70763173e81fe9,RWrfFb2U,60baaa995c09d3162511871d,male,36,black,undergrad,"['Years of education', 'Income']",5,1,0.2960074877035359,1,0.1501069496222906,-0.1314794641367302,0.40196022992466596,0.6254841276787495,0.25096825535749856,1,-0.9814068002523362,-1,-0.2123088619286697,"I believe it helps, but they're are more variable in place. ",I thought the same. ,Changed when presented more evidence. ,very_likely,No.
